Name,Value,MOE
Establishments,155813,
Number of establishments change (2023 to 2024),3506,
Number of establishments percent change (2023 to 2024) (%),2.3,
Number of establishments location quotient,0.98,
Employment (1st month of the quarter),1724576,
Employment change month 1 (1st month of the quarter in 2023 to 2024),14567,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (1st month of the quarter),0.95,
Employment (2nd month of the quarter),1730385,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),13742,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.8,
Employment location quotient (2nd month of the quarter),0.96,
Employment (3rd month of the quarter),1728026,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),10195,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (3rd month of the quarter),0.95,
Total wages ($),27899593856,
Total wages change (2023 to 2024) ($),1333370191,
Total wages percent change (2023 to 2024) (%),5,
Total wages location quotient,0.94,
Average weekly wages ($),1242,
Average weekly wages change (2023 to 2024) ($),50,
Average weekly wages percent change (2023 to 2024) (%),4.2,
Average weekly wages location quotient,0.98,
