Name,Value,MOE
Total population,7268175,
Percent male,49.9,
Percent female,50.1,
Percent under 5 years,5.5,
Percent under 18 years,21.9,
Percent 18 years and over ,78.1,
Percent 21 years and over,74.1,
Percent working age (25 to 64 years),50.1,
Percent 65 years and over,18.6,
Median age,38.8,0.1
Percent White,63.2,
Percent Black or African American,4.64,
Percent American Indian and Alaska Native,4.08,
Percent Asian,3.44,
Percent Native Hawaiian and Other Pacific Islander,0.2,
Percent some other race,8.2,
Percent two or more races,16.25,
Percent Hispanic (of any race),31.04,
