Name,Value,MOE
Total number of housing units,3142443,466
Owner-occupied housing units,1873231,10134
Renter-occupied housing units,923559,7714
Single-family detached units,2015127,5782
Home ownership rate,67,0.3
Vacancy rate,11,0.2
Percent with a broadband internet subscription,90.4,0.2
Median owner-occupied housing unit value,358900,1200
Average housing value,436625,4220
Median selected monthly owner cost,1242,6
Average monthly owner cost (with a mortgage),1214,11
Median rent (housing),1431,8
Average rent (housing),1317,18
Median year structure built,1992,1
