Name,Value,MOE
All Employer establishments (Total),2045285,
All Nonemployer firms,7005900,
Total employment of employers,32063303,
"Total annual payroll of employers ($1,000)",2723438611,
"Total revenue of employers ($1,000)",12821830522,
"Revenue of nonemployer firms ($1,000)",456338244,
Establishment Entrants,239640,
Establishment Exits,174250,
All Employer firms (Total),1443816,
Firms Age 0 (startups),148881,
Firms Age 1-5 Years,422015,
Firms Age 6-10 Year,239070,
Firms Age 11+ Years,573530,
Firms born before 1977,60320,
Firms with 1 to 19 employees,653477,
Firms with 20 to 499 employees,72972,
Firms with 500 or more employees,1448,
"Total revenue of employers ($1,000) for Islands",n/a,
