Name,Value,MOE
Total Civilian employed population 16 years and over,18700223,23770
"Agriculture, forestry, fishing and hunting, and mining",380609,5585
"Arts, entertainment, and recreation, and accommodation and food services",1781368,11775
Construction,1253773,12191
"Educational services, and health care and social assistance",4062424,18438
"Finance and insurance, and real estate and rental and leasing",1066811,9158
Information,546304,6660
Manufacturing,1665814,11905
"Other services, except public administration",904454,9756
"Professional, scientific, and management, and administrative and waste management services",2677526,12533
Public administration,883539,8016
Retail trade,1893259,11112
"Transportation and warehousing, and utilities",1122018,9352
Wholesale trade,462324,5158
