Name,Value,MOE
Total number of housing units,14532683,1118
Owner-occupied housing units,7494811,38685
Renter-occupied housing units,5940036,23772
Single-family detached units,8315954,16128
Home ownership rate,55.8,0.3
Vacancy rate,7.6,0.1
Percent with a broadband internet subscription,92.5,0.1
Median owner-occupied housing unit value,695400,1030
Average housing value,921068,7038
Median selected monthly owner cost,2166,5
Average monthly owner cost (with a mortgage),2243,16
Median rent (housing),1956,5
Average rent (housing),1924,12
Median year structure built,1976,1
