Name,Value,MOE
Establishments,1867458,
Number of establishments change (2023 to 2024),113749,
Number of establishments percent change (2023 to 2024) (%),6.5,
Number of establishments location quotient,1.01,
Employment (1st month of the quarter),15697960,
Employment change month 1 (1st month of the quarter in 2023 to 2024),80071,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (1st month of the quarter),1,
Employment (2nd month of the quarter),15695112,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),97269,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (2nd month of the quarter),1,
Employment (3rd month of the quarter),15573684,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),22837,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.1,
Employment location quotient (3rd month of the quarter),1,
Total wages ($),383639720328,
Total wages change (2023 to 2024) ($),24910007213,
Total wages percent change (2023 to 2024) (%),6.9,
Total wages location quotient,1,
Average weekly wages ($),1885,
Average weekly wages change (2023 to 2024) ($),115,
Average weekly wages percent change (2023 to 2024) (%),6.5,
Average weekly wages location quotient,1,
