Name,Value,MOE
Median household income,96334,298
Average income,136730,584
Percent high school degree or higher,84.6,0.1
Percent Bachelor's degree or higher,36.5,0.2
Average household size,2.86,
Percent in poverty,12,0.1
Percent population 16 years and over in labor force,63.9,0.1
Percent employed,59.3,0.1
Percent disabled,11.3,0
Percent with health coverage,93.1,0.1
Percent of all workers 16 and over who commute to work,84.5,0.1
Percent who drive alone to work,67.1,0.1
Percent who carpool to work,9.5,0.1
Percent who use public transportation to commute to work,3.2,0
Percent who walk to work,2.4,0
Percent who use other means to commute to work,2.4,0
Percent who work from home,15.5,0.1
Average travel time to work (mins),29,0.1
Percent with no vehicles available,7,0.1
Percent with 1 vehicle available,30.4,0.1
Percent with 2 or more vehicles available,62.6,0.1
Percent veterans,4.5,0
Percent foreign born,26.7,
Percent speaking Spanish at home,28.2,0.1
Percent speaking other Indo-European languages at home,4.8,0
Percent speaking other Asian and Pacific Island languages at home,10,0
