Name,Value,MOE
Total consumer expenditures per household ,114434.96,
Consumer expenditures per household on Alcoholic beverages,766.5,
Consumer expenditures per household on Alcoholic beverages consumed at home,469.31,
Consumer expenditures per household on Apparel & services,2787.14,
Consumer expenditures per household on Men's Apparel,513.32,
Consumer expenditures per household on Women's Apparel,930.25,
Consumer expenditures per household on Children's Apparel,431.96,
Consumer expenditures per household on Boys' Apparel,161.27,
Consumer expenditures per household on Girls' Apparel,157.38,
Consumer expenditures per household on Footware,590.95,
Consumer expenditures per household on Dining out (Food away from home),4653.11,
Consumer expenditures per household on Education,2029.1,
Consumer expenditures per household on Entertainment / Recreation,4737.07,
Consumer expenditures per household on Club membership fees,349.88,
Consumer expenditures per household on Dating services,0.97,
Consumer expenditures per household on Pet food,413.75,
Consumer expenditures per household on Pet services,128.59,
Consumer expenditures per household on Food consumed at home,8424.92,
Consumer expenditures per household on Bakery products consumed at home,1078.11,
Consumer expenditures per household on Dairy products consumed at home,798.64,
Consumer expenditures per household on Fruits and vegetables consumed at home,1674.55,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1813.4,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,848.74,
Consumer expenditures per household on Snacks and other food products consumed at home,3060.22,
Consumer expenditures per household on Health Care,8640.31,
Consumer expenditures per household on Medical services,1771.39,
Consumer expenditures per household on Nonprescription drugs,203.21,
Consumer expenditures per household on Household Services,3201.95,
Consumer expenditures per household on Care for the elderly and handicapped,41.62,
Consumer expenditures per household on Lawn and garden services,780.87,
Consumer expenditures per household on Housekeeping services,287.51,
Consumer expenditures per household on PC repair,6.8,
Consumer expenditures per household on Housing,38065.09,
Consumer expenditures per household on Home improvements,6421.69,
"Consumer expenditures per household on Utilities, fuel, and public services",6720.03,
Consumer expenditures per household on Phone services,2195.89,
Consumer expenditures per household on Water,1106.14,
Consumer expenditures per household on Life and other insurance,763.75,
Consumer expenditures per household on Pensions and social security,12431.07,
Consumer expenditures per household on Personal Care Products and Services,1174.91,
Consumer expenditures per household on Hair care products,125.24,
Consumer expenditures per household on Personal care products,520.55,
Consumer expenditures per household on Local Transportation,12712.69,
Consumer expenditures per household on Gasoline,3661.38,
Consumer expenditures per household on Vehicle maintenance and repair,1714.83,
Consumer expenditures per household on Travel,3548.37,
Consumer expenditures per household on Airline fares,760.53,
Consumer expenditures per household on Auto/Truck rental on trips,136.82,
Consumer expenditures per household on Lodging on trips,1134.79,
Consumer expenditures per household on Food and drink on trips,868.38,
Consumer expenditures per household on Entertainment on trips,211.82,
Consumer expenditures per household on Child Care,661.13,
Consumer expenditures per household on Day Care/Nursery & Preschools,468.33,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,192.8,
