Name,Value,MOE
Total population,5810774,
Percent male,50.6,
Percent female,49.4,
Percent under 5 years,5.4,
Percent under 18 years,21.4,
Percent 18 years and over ,78.6,
Percent 21 years and over,74.8,
Percent working age (25 to 64 years),54.3,
Percent 65 years and over,15.2,
Median age,37.5,0.1
Percent White,73.46,
Percent Black or African American,4.01,
Percent American Indian and Alaska Native,1.01,
Percent Asian,3.23,
Percent Native Hawaiian and Other Pacific Islander,0.15,
Percent some other race,5.43,
Percent two or more races,12.71,
Percent Hispanic (of any race),22.22,
