Name,Value,MOE
Total number of housing units,2545124,462
Owner-occupied housing units,1542215,7548
Renter-occupied housing units,783361,5541
Single-family detached units,1571894,5544
Home ownership rate,66.3,0.3
Vacancy rate,8.6,0.2
Percent with a broadband internet subscription,92.8,0.2
Median owner-occupied housing unit value,502200,2298
Average housing value,606422,5616
Median selected monthly owner cost,1754,9
Average monthly owner cost (with a mortgage),1705,13
Median rent (housing),1693,7
Average rent (housing),1599,18
Median year structure built,1987,1
