Name,Value,MOE
Total number of employer and nonemployer businesses,1419337,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,277950,
White-owned non-employer businesses,1001550,
Black-owned non-employer businesses,59060,
American Indian- and Alaska Native-owned employer businesses,16730,
Asian-owned non-employer businesses,54200,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,2980,
Hispanic-owned non-employer businesses,167090,
Female-owned non-employer businesses,488090,
Male-owned non-employer businesses,587400,
Veteran-owned non-employer businesses,60920,
