Name,Value,MOE
All Employer establishments (Total),178523,
All Nonemployer firms,625422,
Total employment of employers,3017193,
"Total annual payroll of employers ($1,000)",224989249,
"Total revenue of employers ($1,000)",1307148907,
"Revenue of nonemployer firms ($1,000)",43125422,
Establishment Entrants,15906,
Establishment Exits,14150,
All Employer firms (Total),127148,
Firms Age 0 (startups),9078,
Firms Age 1-5 Years,26272,
Firms Age 6-10 Year,17497,
Firms Age 11+ Years,59199,
Firms born before 1977,15098,
Firms with 1 to 19 employees,55959,
Firms with 20 to 499 employees,8342,
Firms with 500 or more employees,152,
"Total revenue of employers ($1,000) for Islands",n/a,
