Name,Value,MOE
All Employer establishments (Total),89293,
Average employment per employer,17,
Establishments with less than 5 employees,46898,
Establishments with 5 to 9 employees,16943,
Average payroll per employee,74569,
Establishments with 10 to 19 employees,11863,
Establishments with 20 to 49 employees,8628,
Establishments with 50 to 99 employees,2652,
Population per employer,40,
Establishments with 100 to 249 employees,1710,
Establishments with 250 to 499 employees,382,
Establishments with 500 to 999 employees,119,
"Establishments with 1,000 employees or more",98,
Total employment of employers,1508634,
"Total annual payroll of employers ($1,000)",112497475,
Number of farm operations (Ag only),2992,
Total contract and hired labor expense (Ag only),n/a,
Total operating expense (Ag only),345071000,
Establishment Entrants,7953,
Establishment Exits,7075,
All Employer firms (Total),63110,
Firms Age 0 (startups),4541,
Firms Age 1-5 Years,13131,
Firms Age 6-10 Year,8742,
Firms Age 11+ Years,29432,
Firms born before 1977,7264,
Firms with 1 to 19 employees,55959,
Firms with 20 to 499 employees,8342,
Firms with 500 or more employees,152,
