Name,Value,MOE
Total Civilian employed population 16 years and over,1835455,7251
"Agriculture, forestry, fishing and hunting, and mining",7261,719
"Arts, entertainment, and recreation, and accommodation and food services",145445,3339
Construction,112821,3512
"Educational services, and health care and social assistance",490839,4745
"Finance and insurance, and real estate and rental and leasing",162724,3545
Information,36631,1587
Manufacturing,195355,3828
"Other services, except public administration",78662,2389
"Professional, scientific, and management, and administrative and waste management services",223982,3284
Public administration,67335,2234
Retail trade,192535,4290
"Transportation and warehousing, and utilities",84571,2699
Wholesale trade,37294,1635
