Name,Value,MOE
Total number of housing units,1536049,285
Owner-occupied housing units,939912,5867
Renter-occupied housing units,480258,4568
Single-family detached units,901187,4841
Home ownership rate,66.2,0.4
Vacancy rate,7.5,0.2
Percent with a broadband internet subscription,91.1,0.3
Median owner-occupied housing unit value,343200,1807
Average housing value,471070,6055
Median selected monthly owner cost,1903,11
Average monthly owner cost (with a mortgage),1817,21
Median rent (housing),1431,8
Average rent (housing),1343,22
Median year structure built,1967,1
