Name,Value,MOE
Total number of employer and nonemployer businesses,729131,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,159770,
White-owned non-employer businesses,485650,
Black-owned non-employer businesses,65930,
American Indian- and Alaska Native-owned employer businesses,4560,
Asian-owned non-employer businesses,29950,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,750,
Hispanic-owned non-employer businesses,74750,
Female-owned non-employer businesses,241400,
Male-owned non-employer businesses,322040,
Veteran-owned non-employer businesses,20740,
