Name,Value,MOE
Total consumer expenditures per household ,102652.98,
Consumer expenditures per household on Alcoholic beverages,671.28,
Consumer expenditures per household on Alcoholic beverages consumed at home,417.47,
Consumer expenditures per household on Apparel & services,2446.09,
Consumer expenditures per household on Men's Apparel,454.24,
Consumer expenditures per household on Women's Apparel,830.72,
Consumer expenditures per household on Children's Apparel,378.34,
Consumer expenditures per household on Boys' Apparel,140.91,
Consumer expenditures per household on Girls' Apparel,138.52,
Consumer expenditures per household on Footware,511.83,
Consumer expenditures per household on Dining out (Food away from home),4078.52,
Consumer expenditures per household on Education,1750.57,
Consumer expenditures per household on Entertainment / Recreation,4269.19,
Consumer expenditures per household on Club membership fees,311.61,
Consumer expenditures per household on Dating services,0.88,
Consumer expenditures per household on Pet food,386.27,
Consumer expenditures per household on Pet services,112.38,
Consumer expenditures per household on Food consumed at home,7573.99,
Consumer expenditures per household on Bakery products consumed at home,972.78,
Consumer expenditures per household on Dairy products consumed at home,718.86,
Consumer expenditures per household on Fruits and vegetables consumed at home,1481.98,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1630.8,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,773.15,
Consumer expenditures per household on Snacks and other food products consumed at home,2769.57,
Consumer expenditures per household on Health Care,8180.39,
Consumer expenditures per household on Medical services,1632.87,
Consumer expenditures per household on Nonprescription drugs,193.89,
Consumer expenditures per household on Household Services,2895.35,
Consumer expenditures per household on Care for the elderly and handicapped,35.27,
Consumer expenditures per household on Lawn and garden services,745.63,
Consumer expenditures per household on Housekeeping services,256.73,
Consumer expenditures per household on PC repair,6.02,
Consumer expenditures per household on Housing,33641.88,
Consumer expenditures per household on Home improvements,6007.75,
"Consumer expenditures per household on Utilities, fuel, and public services",6263.52,
Consumer expenditures per household on Phone services,2022.89,
Consumer expenditures per household on Water,1012.56,
Consumer expenditures per household on Life and other insurance,714.24,
Consumer expenditures per household on Pensions and social security,10879.74,
Consumer expenditures per household on Personal Care Products and Services,1034.88,
Consumer expenditures per household on Hair care products,111.32,
Consumer expenditures per household on Personal care products,456.76,
Consumer expenditures per household on Local Transportation,11602.82,
Consumer expenditures per household on Gasoline,3348.25,
Consumer expenditures per household on Vehicle maintenance and repair,1560.46,
Consumer expenditures per household on Travel,3139.95,
Consumer expenditures per household on Airline fares,645.68,
Consumer expenditures per household on Auto/Truck rental on trips,120.61,
Consumer expenditures per household on Lodging on trips,1020.74,
Consumer expenditures per household on Food and drink on trips,771.59,
Consumer expenditures per household on Entertainment on trips,185.71,
Consumer expenditures per household on Child Care,557.16,
Consumer expenditures per household on Day Care/Nursery & Preschools,404.54,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,152.62,
