Name,Value,MOE
Beginning of Quarter Employment - All worker ages,469760,
Beginning of Quarter Employment - Worker age 14-18,12847,
Beginning of Quarter Employment - Worker age 19-21,21653,
Beginning of Quarter Employment - Worker age 22-24,25280,
Beginning of Quarter Employment - Worker age 25-34,94095,
Beginning of Quarter Employment - Worker age 35-44,101503,
Beginning of Quarter Employment - Worker age 45-54,90605,
Beginning of Quarter Employment - Worker age 55-64,83181,
Beginning of Quarter Employment - Worker age 65-99,40596,
All Hires - All educational attainment,71608,
All Hires - Less than High School education,8500,
All Hires - High School education,14606,
All Hires - Associates degree (some college),16363,
All Hires - Bachelor's degree or higher,13694,
Separations,n/a,
Firm Job Gains,n/a,
Firm Job Loss,n/a,
Firm Job Change,n/a,
Average Monthly Earnings ($),n/a,
