Name,Value,MOE
Total consumer expenditures per household ,138871.13,
Consumer expenditures per household on Alcoholic beverages,1040.9,
Consumer expenditures per household on Alcoholic beverages consumed at home,602.47,
Consumer expenditures per household on Apparel & services,3675.92,
Consumer expenditures per household on Men's Apparel,676.77,
Consumer expenditures per household on Women's Apparel,1206.06,
Consumer expenditures per household on Children's Apparel,540.67,
Consumer expenditures per household on Boys' Apparel,208.78,
Consumer expenditures per household on Girls' Apparel,173.03,
Consumer expenditures per household on Footware,763.68,
Consumer expenditures per household on Dining out (Food away from home),5864.27,
Consumer expenditures per household on Education,2690.58,
Consumer expenditures per household on Entertainment / Recreation,5561.13,
Consumer expenditures per household on Club membership fees,441.41,
Consumer expenditures per household on Dating services,1.64,
Consumer expenditures per household on Pet food,471.7,
Consumer expenditures per household on Pet services,148.33,
Consumer expenditures per household on Food consumed at home,10630.89,
Consumer expenditures per household on Bakery products consumed at home,1359.33,
Consumer expenditures per household on Dairy products consumed at home,996.4,
Consumer expenditures per household on Fruits and vegetables consumed at home,2160.63,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",2315.86,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,1058.85,
Consumer expenditures per household on Snacks and other food products consumed at home,3798.67,
Consumer expenditures per household on Health Care,9556.4,
Consumer expenditures per household on Medical services,1945.22,
Consumer expenditures per household on Nonprescription drugs,219.03,
Consumer expenditures per household on Household Services,3781.83,
Consumer expenditures per household on Care for the elderly and handicapped,63.15,
Consumer expenditures per household on Lawn and garden services,786.17,
Consumer expenditures per household on Housekeeping services,312.33,
Consumer expenditures per household on PC repair,8.95,
Consumer expenditures per household on Housing,47502.6,
Consumer expenditures per household on Home improvements,5956.36,
"Consumer expenditures per household on Utilities, fuel, and public services",7812.2,
Consumer expenditures per household on Phone services,2649.14,
Consumer expenditures per household on Water,1155.02,
Consumer expenditures per household on Life and other insurance,831.05,
Consumer expenditures per household on Pensions and social security,15242.57,
Consumer expenditures per household on Personal Care Products and Services,1485.71,
Consumer expenditures per household on Hair care products,157.25,
Consumer expenditures per household on Personal care products,651.47,
Consumer expenditures per household on Local Transportation,14999.86,
Consumer expenditures per household on Gasoline,4276.21,
Consumer expenditures per household on Vehicle maintenance and repair,1966.79,
Consumer expenditures per household on Travel,4309.6,
Consumer expenditures per household on Airline fares,968.31,
Consumer expenditures per household on Auto/Truck rental on trips,169.19,
Consumer expenditures per household on Lodging on trips,1348.97,
Consumer expenditures per household on Food and drink on trips,1069.52,
Consumer expenditures per household on Entertainment on trips,249.37,
Consumer expenditures per household on Child Care,846.12,
Consumer expenditures per household on Day Care/Nursery & Preschools,563.27,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,282.85,
