Name,Value,MOE
All Employer establishments (Total),23874,
Average employment per employer,22,
Establishments with less than 5 employees,12143,
Establishments with 5 to 9 employees,4056,
Average payroll per employee,99017,
Establishments with 10 to 19 employees,3168,
Establishments with 20 to 49 employees,2613,
Establishments with 50 to 99 employees,991,
Population per employer,28,
Establishments with 100 to 249 employees,621,
Establishments with 250 to 499 employees,185,
Establishments with 500 to 999 employees,63,
"Establishments with 1,000 employees or more",34,
Total employment of employers,527355,
"Total annual payroll of employers ($1,000)",52216924,
Number of farm operations (Ag only),n/a,
Total contract and hired labor expense (Ag only),n/a,
Total operating expense (Ag only),n/a,
Establishment Entrants,2448,
Establishment Exits,2216,
All Employer firms (Total),17265,
Firms Age 0 (startups),1315,
Firms Age 1-5 Years,3909,
Firms Age 6-10 Year,2470,
Firms Age 11+ Years,7273,
Firms born before 1977,2298,
Firms with 1 to 19 employees,14232,
Firms with 20 to 499 employees,3344,
Firms with 500 or more employees,78,
