Name,Value,MOE
Total Civilian employed population 16 years and over,371410,2793
"Agriculture, forestry, fishing and hunting, and mining",329,96
"Arts, entertainment, and recreation, and accommodation and food services",27341,1338
Construction,9525,1010
"Educational services, and health care and social assistance",64871,2455
"Finance and insurance, and real estate and rental and leasing",22773,1151
Information,13666,1116
Manufacturing,5066,563
"Other services, except public administration",36471,1997
"Professional, scientific, and management, and administrative and waste management services",95724,2501
Public administration,66275,2247
Retail trade,16586,1540
"Transportation and warehousing, and utilities",10699,1000
Wholesale trade,2084,576
