Name,Value,MOE
Total number of housing units,356101,179
Owner-occupied housing units,132288,2557
Renter-occupied housing units,189268,2750
Single-family detached units,39451,1463
Home ownership rate,41.1,0.8
Vacancy rate,9.7,0.4
Percent with a broadband internet subscription,90.2,0.5
Median owner-occupied housing unit value,724600,9892
Average housing value,902213,27154
Median selected monthly owner cost,2563,43
Average monthly owner cost (with a mortgage),2613,83
Median rent (housing),1900,24
Average rent (housing),1935,44
Median year structure built,1957,1
