Name,Value,MOE
Establishments,52032,
Number of establishments change (2023 to 2024),-185,
Number of establishments percent change (2023 to 2024) (%),-0.4,
Number of establishments location quotient,1.02,
Employment (1st month of the quarter),526034,
Employment change month 1 (1st month of the quarter in 2023 to 2024),-2699,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),-0.5,
Employment location quotient (1st month of the quarter),0.81,
Employment (2nd month of the quarter),526228,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),-2771,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),-0.5,
Employment location quotient (2nd month of the quarter),0.81,
Employment (3rd month of the quarter),523780,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),-3723,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),-0.7,
Employment location quotient (3rd month of the quarter),0.81,
Total wages ($),16707839557,
Total wages change (2023 to 2024) ($),1198324940,
Total wages percent change (2023 to 2024) (%),7.7,
Total wages location quotient,0.79,
Average weekly wages ($),2446,
Average weekly wages change (2023 to 2024) ($),188,
Average weekly wages percent change (2023 to 2024) (%),8.3,
Average weekly wages location quotient,0.97,
