Name,Value,MOE
All Employer establishments (Total),210041,
All Nonemployer firms,780456,
Total employment of employers,3555175,
"Total annual payroll of employers ($1,000)",188368578,
"Total revenue of employers ($1,000)",1256392394,
"Revenue of nonemployer firms ($1,000)",40437960,
Establishment Entrants,18888,
Establishment Exits,16696,
All Employer firms (Total),142702,
Firms Age 0 (startups),11559,
Firms Age 1-5 Years,32517,
Firms Age 6-10 Year,20049,
Firms Age 11+ Years,65734,
Firms born before 1977,12843,
Firms with 1 to 19 employees,62616,
Firms with 20 to 499 employees,9606,
Firms with 500 or more employees,237,
"Total revenue of employers ($1,000) for Islands",n/a,
