Name,Value,MOE
Total Civilian employed population 16 years and over,2229912,8902
"Agriculture, forestry, fishing and hunting, and mining",29863,1901
"Arts, entertainment, and recreation, and accommodation and food services",181268,3808
Construction,154987,3467
"Educational services, and health care and social assistance",504700,6348
"Finance and insurance, and real estate and rental and leasing",124995,2599
Information,27500,1374
Manufacturing,316156,5511
"Other services, except public administration",107571,3183
"Professional, scientific, and management, and administrative and waste management services",221978,4138
Public administration,123187,3691
Retail trade,258380,4667
"Transportation and warehousing, and utilities",129924,3068
Wholesale trade,49403,1940
