Name,Value,MOE
Total number of housing units,2316192,430
Owner-occupied housing units,1377062,8420
Renter-occupied housing units,592043,5338
Single-family detached units,1596598,5758
Home ownership rate,69.9,0.4
Vacancy rate,15,0.3
Percent with a broadband internet subscription,85.6,0.3
Median owner-occupied housing unit value,195100,1110
Average housing value,251247,3204
Median selected monthly owner cost,879,8
Average monthly owner cost (with a mortgage),862,11
Median rent (housing),963,7
Average rent (housing),794,14
Median year structure built,1985,1
