Name,Value,MOE
Total number of employer and nonemployer businesses,873615,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,242200,
White-owned non-employer businesses,523700,
Black-owned non-employer businesses,191940,
American Indian- and Alaska Native-owned employer businesses,8420,
Asian-owned non-employer businesses,20190,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,740,
Hispanic-owned non-employer businesses,28790,
Female-owned non-employer businesses,336370,
Male-owned non-employer businesses,385800,
Veteran-owned non-employer businesses,52950,
