Name,Value,MOE
All Employer establishments (Total),44135,
All Nonemployer firms,120942,
Total employment of employers,514910,
"Total annual payroll of employers ($1,000)",35631305,
"Total revenue of employers ($1,000)",190490724,
"Revenue of nonemployer firms ($1,000)",6970004,
Establishment Entrants,4032,
Establishment Exits,3688,
All Employer firms (Total),29756,
Firms Age 0 (startups),2371,
Firms Age 1-5 Years,6758,
Firms Age 6-10 Year,4195,
Firms Age 11+ Years,14039,
Firms born before 1977,2393,
Firms with 1 to 19 employees,13522,
Firms with 20 to 499 employees,1485,
Firms with 500 or more employees,34,
"Total revenue of employers ($1,000) for Islands",n/a,
