Name,Value,MOE
Total consumer expenditures per household ,103999.39,
Consumer expenditures per household on Alcoholic beverages,675.45,
Consumer expenditures per household on Alcoholic beverages consumed at home,413.08,
Consumer expenditures per household on Apparel & services,2512.1,
Consumer expenditures per household on Men's Apparel,464.94,
Consumer expenditures per household on Women's Apparel,841.13,
Consumer expenditures per household on Children's Apparel,399.53,
Consumer expenditures per household on Boys' Apparel,147.33,
Consumer expenditures per household on Girls' Apparel,146.61,
Consumer expenditures per household on Footware,531.65,
Consumer expenditures per household on Dining out (Food away from home),4166.81,
Consumer expenditures per household on Education,1771.52,
Consumer expenditures per household on Entertainment / Recreation,4325.62,
Consumer expenditures per household on Club membership fees,312.23,
Consumer expenditures per household on Dating services,0.87,
Consumer expenditures per household on Pet food,387.3,
Consumer expenditures per household on Pet services,114.24,
Consumer expenditures per household on Food consumed at home,7686.72,
Consumer expenditures per household on Bakery products consumed at home,985.38,
Consumer expenditures per household on Dairy products consumed at home,729.74,
Consumer expenditures per household on Fruits and vegetables consumed at home,1506,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1653.32,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,784.64,
Consumer expenditures per household on Snacks and other food products consumed at home,2812.27,
Consumer expenditures per household on Health Care,8177.36,
Consumer expenditures per household on Medical services,1657.62,
Consumer expenditures per household on Nonprescription drugs,192.54,
Consumer expenditures per household on Household Services,2917.24,
Consumer expenditures per household on Care for the elderly and handicapped,33.73,
Consumer expenditures per household on Lawn and garden services,732.94,
Consumer expenditures per household on Housekeeping services,249.99,
Consumer expenditures per household on PC repair,6.1,
Consumer expenditures per household on Housing,34132.63,
Consumer expenditures per household on Home improvements,5962.94,
"Consumer expenditures per household on Utilities, fuel, and public services",6321.04,
Consumer expenditures per household on Phone services,2054.05,
Consumer expenditures per household on Water,1020.83,
Consumer expenditures per household on Life and other insurance,708.45,
Consumer expenditures per household on Pensions and social security,11114.5,
Consumer expenditures per household on Personal Care Products and Services,1045.31,
Consumer expenditures per household on Hair care products,113.46,
Consumer expenditures per household on Personal care products,455.34,
Consumer expenditures per household on Local Transportation,11852.62,
Consumer expenditures per household on Gasoline,3416.79,
Consumer expenditures per household on Vehicle maintenance and repair,1594.69,
Consumer expenditures per household on Travel,3168.25,
Consumer expenditures per household on Airline fares,654.96,
Consumer expenditures per household on Auto/Truck rental on trips,122.69,
Consumer expenditures per household on Lodging on trips,1019.19,
Consumer expenditures per household on Food and drink on trips,780.64,
Consumer expenditures per household on Entertainment on trips,190.72,
Consumer expenditures per household on Child Care,582.63,
Consumer expenditures per household on Day Care/Nursery & Preschools,423.74,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,158.9,
