Name,Value,MOE
Total population,733971,
Percent male,52.5,
Percent female,47.5,
Percent under 5 years,6.5,
Percent under 18 years,24.3,
Percent 18 years and over ,75.7,
Percent 21 years and over,72,
Percent working age (25 to 64 years),53.1,
Percent 65 years and over,13.3,
Median age,35.6,0.1
Percent White,60.7,
Percent Black or African American,3.1,
Percent American Indian and Alaska Native,13.79,
Percent Asian,6.42,
Percent Native Hawaiian and Other Pacific Islander,1.55,
Percent some other race,2.2,
Percent two or more races,12.24,
Percent Hispanic (of any race),7.15,
