Name,Value,MOE
All Employer establishments (Total),22082,
Average employment per employer,12,
Establishments with less than 5 employees,12818,
Establishments with 5 to 9 employees,4141,
Average payroll per employee,69200,
Establishments with 10 to 19 employees,2733,
Establishments with 20 to 49 employees,1582,
Establishments with 50 to 99 employees,467,
Population per employer,33,
Establishments with 100 to 249 employees,230,
Establishments with 250 to 499 employees,68,
Establishments with 500 to 999 employees,33,
"Establishments with 1,000 employees or more",10,
Total employment of employers,257462,
"Total annual payroll of employers ($1,000)",17816330,
Number of farm operations (Ag only),672,
Total contract and hired labor expense (Ag only),n/a,
Total operating expense (Ag only),23905000,
Establishment Entrants,2016,
Establishment Exits,1844,
All Employer firms (Total),14652,
Firms Age 0 (startups),1185,
Firms Age 1-5 Years,3377,
Firms Age 6-10 Year,2095,
Firms Age 11+ Years,6912,
Firms born before 1977,1083,
Firms with 1 to 19 employees,13522,
Firms with 20 to 499 employees,1485,
Firms with 500 or more employees,34,
