Name,Value,MOE
Total Civilian employed population 16 years and over,338252,3325
"Agriculture, forestry, fishing and hunting, and mining",17183,1226
"Arts, entertainment, and recreation, and accommodation and food services",28665,1743
Construction,24295,1196
"Educational services, and health care and social assistance",82104,1949
"Finance and insurance, and real estate and rental and leasing",13872,974
Information,5433,730
Manufacturing,13676,928
"Other services, except public administration",15279,996
"Professional, scientific, and management, and administrative and waste management services",28678,1381
Public administration,38425,1730
Retail trade,34108,1366
"Transportation and warehousing, and utilities",30931,1571
Wholesale trade,5603,618
