Name,Value,MOE
Total number of housing units,327610,431
Owner-occupied housing units,178369,2151
Renter-occupied housing units,89496,2130
Single-family detached units,206551,1642
Home ownership rate,66.6,0.7
Vacancy rate,18.2,0.5
Percent with a broadband internet subscription,90.6,0.5
Median owner-occupied housing unit value,333300,3665
Average housing value,362464,8897
Median selected monthly owner cost,1565,26
Average monthly owner cost (with a mortgage),1412,39
Median rent (housing),1388,20
Average rent (housing),1317,48
Median year structure built,1985,1
