Name,Value,MOE
Establishments,23521,
Number of establishments change (2023 to 2024),254,
Number of establishments percent change (2023 to 2024) (%),1.1,
Number of establishments location quotient,0.95,
Employment (1st month of the quarter),249772,
Employment change month 1 (1st month of the quarter in 2023 to 2024),5272,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),2.2,
Employment location quotient (1st month of the quarter),0.89,
Employment (2nd month of the quarter),240651,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),4894,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),2.1,
Employment location quotient (2nd month of the quarter),0.89,
Employment (3rd month of the quarter),239662,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),4443,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1.9,
Employment location quotient (3rd month of the quarter),0.88,
Total wages ($),4573576745,
Total wages change (2023 to 2024) ($),309899296,
Total wages percent change (2023 to 2024) (%),7.3,
Total wages location quotient,0.89,
Average weekly wages ($),1446,
Average weekly wages change (2023 to 2024) ($),71,
Average weekly wages percent change (2023 to 2024) (%),5.2,
Average weekly wages location quotient,1,
