Name,Value,MOE
Median household income,89336,1374
Average income,114947,2008
Percent high school degree or higher,93.5,0.3
Percent Bachelor's degree or higher,31.2,0.6
Average household size,2.63,
Percent in poverty,10.2,0.3
Percent population 16 years and over in labor force,66.4,0.4
Percent employed,58.9,0.6
Percent disabled,13.1,0.4
Percent with health coverage,88.8,0.4
Percent of all workers 16 and over who commute to work,91.2,1.3
Percent who drive alone to work,65.6,0.8
Percent who carpool to work,11.9,0.8
Percent who use public transportation to commute to work,1,0.1
Percent who walk to work,7.5,0.8
Percent who use other means to commute to work,5.2,0.3
Percent who work from home,8.8,0.5
Average travel time to work (mins),19.5,0.4
Percent with no vehicles available,9.1,0.3
Percent with 1 vehicle available,31.6,0.8
Percent with 2 or more vehicles available,59.3,0.9
Percent veterans,11,0.4
Percent foreign born,7.8,
Percent speaking Spanish at home,3.4,0.2
Percent speaking other Indo-European languages at home,2,0.2
Percent speaking other Asian and Pacific Island languages at home,5.9,0.3
