Name,Value,MOE
All Employer establishments (Total),319538,
All Nonemployer firms,1170502,
Total employment of employers,5575235,
"Total annual payroll of employers ($1,000)",325286729,
"Total revenue of employers ($1,000)",1716807654,
"Revenue of nonemployer firms ($1,000)",66735484,
Establishment Entrants,35138,
Establishment Exits,27820,
All Employer firms (Total),213191,
Firms Age 0 (startups),23097,
Firms Age 1-5 Years,61299,
Firms Age 6-10 Year,34403,
Firms Age 11+ Years,84841,
Firms born before 1977,9551,
Firms with 1 to 19 employees,94065,
Firms with 20 to 499 employees,13574,
Firms with 500 or more employees,325,
"Total revenue of employers ($1,000) for Islands",n/a,
