Name,Value,MOE
Total consumer expenditures per household ,96107.5,
Consumer expenditures per household on Alcoholic beverages,623.87,
Consumer expenditures per household on Alcoholic beverages consumed at home,386.46,
Consumer expenditures per household on Apparel & services,2315.86,
Consumer expenditures per household on Men's Apparel,427.27,
Consumer expenditures per household on Women's Apparel,784.65,
Consumer expenditures per household on Children's Apparel,364.26,
Consumer expenditures per household on Boys' Apparel,133.48,
Consumer expenditures per household on Girls' Apparel,134.69,
Consumer expenditures per household on Footware,495.94,
Consumer expenditures per household on Dining out (Food away from home),3894.4,
Consumer expenditures per household on Education,1561.03,
Consumer expenditures per household on Entertainment / Recreation,3967.05,
Consumer expenditures per household on Club membership fees,281.7,
Consumer expenditures per household on Dating services,0.78,
Consumer expenditures per household on Pet food,362,
Consumer expenditures per household on Pet services,105.45,
Consumer expenditures per household on Food consumed at home,7109.57,
Consumer expenditures per household on Bakery products consumed at home,904.39,
Consumer expenditures per household on Dairy products consumed at home,673.14,
Consumer expenditures per household on Fruits and vegetables consumed at home,1390.7,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1545.68,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,726.2,
Consumer expenditures per household on Snacks and other food products consumed at home,2595.65,
Consumer expenditures per household on Health Care,7546.01,
Consumer expenditures per household on Medical services,1511.42,
Consumer expenditures per household on Nonprescription drugs,182.8,
Consumer expenditures per household on Household Services,2688.16,
Consumer expenditures per household on Care for the elderly and handicapped,32.96,
Consumer expenditures per household on Lawn and garden services,674.94,
Consumer expenditures per household on Housekeeping services,241.81,
Consumer expenditures per household on PC repair,5.57,
Consumer expenditures per household on Housing,31735.25,
Consumer expenditures per household on Home improvements,5495.92,
"Consumer expenditures per household on Utilities, fuel, and public services",5848.49,
Consumer expenditures per household on Phone services,1905.54,
Consumer expenditures per household on Water,967.63,
Consumer expenditures per household on Life and other insurance,646.89,
Consumer expenditures per household on Pensions and social security,10033.79,
Consumer expenditures per household on Personal Care Products and Services,983.53,
Consumer expenditures per household on Hair care products,103.52,
Consumer expenditures per household on Personal care products,432.76,
Consumer expenditures per household on Local Transportation,10962.87,
Consumer expenditures per household on Gasoline,3191.53,
Consumer expenditures per household on Vehicle maintenance and repair,1474.07,
Consumer expenditures per household on Travel,2907.96,
Consumer expenditures per household on Airline fares,612.01,
Consumer expenditures per household on Auto/Truck rental on trips,111.11,
Consumer expenditures per household on Lodging on trips,931.09,
Consumer expenditures per household on Food and drink on trips,713.82,
Consumer expenditures per household on Entertainment on trips,171.34,
Consumer expenditures per household on Child Care,510.43,
Consumer expenditures per household on Day Care/Nursery & Preschools,366.8,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,143.63,
