Name,Value,MOE
All Employer establishments (Total),159857,
Average employment per employer,17,
Establishments with less than 5 employees,89012,
Establishments with 5 to 9 employees,26733,
Average payroll per employee,58345,
Establishments with 10 to 19 employees,19720,
Establishments with 20 to 49 employees,15056,
Establishments with 50 to 99 employees,5121,
Population per employer,45,
Establishments with 100 to 249 employees,2910,
Establishments with 250 to 499 employees,801,
Establishments with 500 to 999 employees,294,
"Establishments with 1,000 employees or more",210,
Total employment of employers,2787701,
"Total annual payroll of employers ($1,000)",162647099,
Number of farm operations (Ag only),3396,
Total contract and hired labor expense (Ag only),n/a,
Total operating expense (Ag only),1866958000,
Establishment Entrants,17569,
Establishment Exits,13910,
All Employer firms (Total),105782,
Firms Age 0 (startups),11546,
Firms Age 1-5 Years,30625,
Firms Age 6-10 Year,17167,
Firms Age 11+ Years,42070,
Firms born before 1977,4374,
Firms with 1 to 19 employees,94065,
Firms with 20 to 499 employees,13574,
Firms with 500 or more employees,325,
