Name,Value,MOE
Total Civilian employed population 16 years and over,3340327,8912
"Agriculture, forestry, fishing and hunting, and mining",42109,1834
"Arts, entertainment, and recreation, and accommodation and food services",318120,5179
Construction,256425,4511
"Educational services, and health care and social assistance",735743,7740
"Finance and insurance, and real estate and rental and leasing",296965,4798
Information,53787,2402
Manufacturing,248477,4461
"Other services, except public administration",149985,3234
"Professional, scientific, and management, and administrative and waste management services",420192,6165
Public administration,160595,3688
Retail trade,397482,5620
"Transportation and warehousing, and utilities",191692,3358
Wholesale trade,68755,2265
