Name,Value,MOE
Median household income,76872,414
Average income,104138,722
Percent high school degree or higher,89.1,0.2
Percent Bachelor's degree or higher,32.6,0.2
Average household size,2.54,
Percent in poverty,12.8,0.2
Percent population 16 years and over in labor force,60.5,0.1
Percent employed,57,0.2
Percent disabled,13.6,0.1
Percent with health coverage,89.4,0.2
Percent of all workers 16 and over who commute to work,83.5,0.3
Percent who drive alone to work,68.5,0.2
Percent who carpool to work,9.8,0.2
Percent who use public transportation to commute to work,1.2,0.1
Percent who walk to work,1.7,0.1
Percent who use other means to commute to work,2.3,0.1
Percent who work from home,16.5,0.2
Average travel time to work (mins),25.5,0.2
Percent with no vehicles available,5.4,0.1
Percent with 1 vehicle available,34.2,0.3
Percent with 2 or more vehicles available,60.4,0.3
Percent veterans,8.1,0.1
Percent foreign born,12.9,
Percent speaking Spanish at home,19.2,0.1
Percent speaking other Indo-European languages at home,2,0.1
Percent speaking other Asian and Pacific Island languages at home,2.1,0.1
