Name,Value,MOE
All Employer establishments (Total),139202,
All Nonemployer firms,483238,
Total employment of employers,2177991,
"Total annual payroll of employers ($1,000)",113212019,
"Total revenue of employers ($1,000)",708308595,
"Revenue of nonemployer firms ($1,000)",25299414,
Establishment Entrants,12198,
Establishment Exits,11352,
All Employer firms (Total),94992,
Firms Age 0 (startups),7483,
Firms Age 1-5 Years,22300,
Firms Age 6-10 Year,13615,
Firms Age 11+ Years,42533,
Firms born before 1977,9060,
Firms with 1 to 19 employees,42270,
Firms with 20 to 499 employees,5816,
Firms with 500 or more employees,122,
"Total revenue of employers ($1,000) for Islands",n/a,
