Name,Value,MOE
Total consumer expenditures per household ,73733.03,
Consumer expenditures per household on Alcoholic beverages,455.67,
Consumer expenditures per household on Alcoholic beverages consumed at home,280.79,
Consumer expenditures per household on Apparel & services,1743.67,
Consumer expenditures per household on Men's Apparel,320.56,
Consumer expenditures per household on Women's Apparel,598.84,
Consumer expenditures per household on Children's Apparel,282.2,
Consumer expenditures per household on Boys' Apparel,104.79,
Consumer expenditures per household on Girls' Apparel,102.91,
Consumer expenditures per household on Footware,361.97,
Consumer expenditures per household on Dining out (Food away from home),2903.89,
Consumer expenditures per household on Education,1148.36,
Consumer expenditures per household on Entertainment / Recreation,3063.8,
Consumer expenditures per household on Club membership fees,205.31,
Consumer expenditures per household on Dating services,0.63,
Consumer expenditures per household on Pet food,306.24,
Consumer expenditures per household on Pet services,75.48,
Consumer expenditures per household on Food consumed at home,5587.79,
Consumer expenditures per household on Bakery products consumed at home,716.82,
Consumer expenditures per household on Dairy products consumed at home,526.32,
Consumer expenditures per household on Fruits and vegetables consumed at home,1065.95,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1207.07,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,590.17,
Consumer expenditures per household on Snacks and other food products consumed at home,2071.64,
Consumer expenditures per household on Health Care,6217.92,
Consumer expenditures per household on Medical services,1184.35,
Consumer expenditures per household on Nonprescription drugs,148.8,
Consumer expenditures per household on Household Services,2073.2,
Consumer expenditures per household on Care for the elderly and handicapped,23.02,
Consumer expenditures per household on Lawn and garden services,552.99,
Consumer expenditures per household on Housekeeping services,167.4,
Consumer expenditures per household on PC repair,4.29,
Consumer expenditures per household on Housing,23533.31,
Consumer expenditures per household on Home improvements,4175.68,
"Consumer expenditures per household on Utilities, fuel, and public services",4852.98,
Consumer expenditures per household on Phone services,1560.67,
Consumer expenditures per household on Water,762.43,
Consumer expenditures per household on Life and other insurance,515.83,
Consumer expenditures per household on Pensions and social security,7506.66,
Consumer expenditures per household on Personal Care Products and Services,714.63,
Consumer expenditures per household on Hair care products,78.2,
Consumer expenditures per household on Personal care products,297.23,
Consumer expenditures per household on Local Transportation,8899.34,
Consumer expenditures per household on Gasoline,2648.43,
Consumer expenditures per household on Vehicle maintenance and repair,1158.6,
Consumer expenditures per household on Travel,2143.55,
Consumer expenditures per household on Airline fares,408.43,
Consumer expenditures per household on Auto/Truck rental on trips,81.3,
Consumer expenditures per household on Lodging on trips,709.58,
Consumer expenditures per household on Food and drink on trips,533.56,
Consumer expenditures per household on Entertainment on trips,127.51,
Consumer expenditures per household on Child Care,366.44,
Consumer expenditures per household on Day Care/Nursery & Preschools,267.23,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,99.21,
