Name,Value,MOE
Total population,3032651,
Percent male,49.3,
Percent female,50.7,
Percent under 5 years,6,
Percent under 18 years,23.3,
Percent 18 years and over ,76.7,
Percent 21 years and over,72.6,
Percent working age (25 to 64 years),50.1,
Percent 65 years and over,17.3,
Median age,38.4,0.2
Percent White,70.86,
Percent Black or African American,14.91,
Percent American Indian and Alaska Native,0.56,
Percent Asian,1.56,
Percent Native Hawaiian and Other Pacific Islander,0.4,
Percent some other race,3.03,
Percent two or more races,8.69,
Percent Hispanic (of any race),8.77,
