Name,Value,MOE
All Employer establishments (Total),69634,
Average employment per employer,16,
Establishments with less than 5 employees,36858,
Establishments with 5 to 9 employees,13556,
Average payroll per employee,51979,
Establishments with 10 to 19 employees,9178,
Establishments with 20 to 49 employees,6519,
Establishments with 50 to 99 employees,2009,
Population per employer,43,
Establishments with 100 to 249 employees,1033,
Establishments with 250 to 499 employees,303,
Establishments with 500 to 999 employees,100,
"Establishments with 1,000 employees or more",78,
Total employment of employers,1089044,
"Total annual payroll of employers ($1,000)",56607098,
Number of farm operations (Ag only),12911,
Total contract and hired labor expense (Ag only),23526000,
Total operating expense (Ag only),2829236000,
Establishment Entrants,6099,
Establishment Exits,5676,
All Employer firms (Total),47093,
Firms Age 0 (startups),3742,
Firms Age 1-5 Years,11142,
Firms Age 6-10 Year,6795,
Firms Age 11+ Years,21130,
Firms born before 1977,4284,
Firms with 1 to 19 employees,42270,
Firms with 20 to 499 employees,5816,
Firms with 500 or more employees,122,
