Name,Value,MOE
Total Civilian employed population 16 years and over,1327740,7061
"Agriculture, forestry, fishing and hunting, and mining",31796,1373
"Arts, entertainment, and recreation, and accommodation and food services",104596,3208
Construction,96635,2559
"Educational services, and health care and social assistance",318308,4604
"Finance and insurance, and real estate and rental and leasing",69541,2481
Information,15562,1071
Manufacturing,171391,3578
"Other services, except public administration",64752,2228
"Professional, scientific, and management, and administrative and waste management services",108651,2374
Public administration,59012,2214
Retail trade,176537,3738
"Transportation and warehousing, and utilities",82589,2486
Wholesale trade,28370,1600
