Name,Value,MOE
Total number of housing units,1382664,336
Owner-occupied housing units,786534,6197
Renter-occupied housing units,402626,4565
Single-family detached units,967948,3989
Home ownership rate,66.1,0.5
Vacancy rate,14,0.3
Percent with a broadband internet subscription,84.7,0.4
Median owner-occupied housing unit value,175300,1508
Average housing value,226159,4081
Median selected monthly owner cost,816,8
Average monthly owner cost (with a mortgage),798,12
Median rent (housing),914,7
Average rent (housing),756,15
Median year structure built,1987,1
