Name,Value,MOE
Total number of employer and nonemployer businesses,549912,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,112310,
White-owned non-employer businesses,374250,
Black-owned non-employer businesses,65050,
American Indian- and Alaska Native-owned employer businesses,7000,
Asian-owned non-employer businesses,12320,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,710,
Hispanic-owned non-employer businesses,31990,
Female-owned non-employer businesses,193980,
Male-owned non-employer businesses,246400,
Veteran-owned non-employer businesses,31000,
