Name,Value,MOE
Establishments,101759,
Number of establishments change (2023 to 2024),2868,
Number of establishments percent change (2023 to 2024) (%),2.9,
Number of establishments location quotient,0.98,
Employment (1st month of the quarter),1106264,
Employment change month 1 (1st month of the quarter in 2023 to 2024),14677,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.3,
Employment location quotient (1st month of the quarter),0.99,
Employment (2nd month of the quarter),1109720,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),15755,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.4,
Employment location quotient (2nd month of the quarter),0.99,
Employment (3rd month of the quarter),1109753,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),13172,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1.2,
Employment location quotient (3rd month of the quarter),0.99,
Total wages ($),16774155192,
Total wages change (2023 to 2024) ($),1229627545,
Total wages percent change (2023 to 2024) (%),7.9,
Total wages location quotient,0.99,
Average weekly wages ($),1164,
Average weekly wages change (2023 to 2024) ($),71,
Average weekly wages percent change (2023 to 2024) (%),6.5,
Average weekly wages location quotient,1,
