Name,Value,MOE
Median household income,58773,503
Average income,82554,890
Percent high school degree or higher,88.6,0.2
Percent Bachelor's degree or higher,25.1,0.3
Average household size,2.48,
Percent in poverty,16,0.3
Percent population 16 years and over in labor force,58.3,0.3
Percent employed,55.1,0.3
Percent disabled,17.8,0.2
Percent with health coverage,91,0.2
Percent of all workers 16 and over who commute to work,92.2,0.4
Percent who drive alone to work,79.7,0.4
Percent who carpool to work,9.6,0.3
Percent who use public transportation to commute to work,0.3,0
Percent who walk to work,1.5,0.1
Percent who use other means to commute to work,1.1,0.1
Percent who work from home,7.8,0.2
Average travel time to work (mins),22.3,0.3
Percent with no vehicles available,5.9,0.2
Percent with 1 vehicle available,32.9,0.3
Percent with 2 or more vehicles available,61.2,0.5
Percent veterans,7.6,0.1
Percent foreign born,5.2,
Percent speaking Spanish at home,6,0.1
Percent speaking other Indo-European languages at home,0.8,0.1
Percent speaking other Asian and Pacific Island languages at home,1.2,0.1
