Name,Value,MOE
Total population,39242785,
Percent male,50,
Percent female,50,
Percent under 5 years,5.6,
Percent under 18 years,22.2,
Percent 18 years and over ,77.8,
Percent 21 years and over,73.8,
Percent working age (25 to 64 years),53.4,
Percent 65 years and over,15.3,
Median age,37.6,0.1
Percent White,43.95,
Percent Black or African American,5.54,
Percent American Indian and Alaska Native,1.13,
Percent Asian,15.28,
Percent Native Hawaiian and Other Pacific Islander,0.38,
Percent some other race,17.38,
Percent two or more races,16.33,
Percent Hispanic (of any race),39.83,
