Name,Value,MOE
All Employer establishments (Total),1023181,
Average employment per employer,16,
Establishments with less than 5 employees,595478,
Establishments with 5 to 9 employees,170801,
Average payroll per employee,84938,
Establishments with 10 to 19 employees,121410,
Establishments with 20 to 49 employees,85536,
Establishments with 50 to 99 employees,27958,
Population per employer,38,
Establishments with 100 to 249 employees,15253,
Establishments with 250 to 499 employees,4126,
Establishments with 500 to 999 employees,1501,
"Establishments with 1,000 employees or more",1118,
Total employment of employers,16032440,
"Total annual payroll of employers ($1,000)",1361755461,
Number of farm operations (Ag only),47318,
Total contract and hired labor expense (Ag only),3728522000,
Total operating expense (Ag only),27143793000,
Establishment Entrants,119820,
Establishment Exits,87125,
All Employer firms (Total),718043,
Firms Age 0 (startups),74427,
Firms Age 1-5 Years,210871,
Firms Age 6-10 Year,119327,
Firms Age 11+ Years,284939,
Firms born before 1977,28479,
Firms with 1 to 19 employees,653477,
Firms with 20 to 499 employees,72972,
Firms with 500 or more employees,1448,
