Name,Value,MOE
Total number of employer and nonemployer businesses,8415949,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,3666700,
White-owned non-employer businesses,4681850,
Black-owned non-employer businesses,528550,
American Indian- and Alaska Native-owned employer businesses,112840,
Asian-owned non-employer businesses,1495650,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,46060,
Hispanic-owned non-employer businesses,1886500,
Female-owned non-employer businesses,2860400,
Male-owned non-employer businesses,3689350,
Veteran-owned non-employer businesses,203310,
