Name,Value,MOE
Total Civilian employed population 16 years and over,3051664,7950
"Agriculture, forestry, fishing and hunting, and mining",59459,2348
"Arts, entertainment, and recreation, and accommodation and food services",281933,4743
Construction,244546,3745
"Educational services, and health care and social assistance",663287,6368
"Finance and insurance, and real estate and rental and leasing",218342,4266
Information,80773,2334
Manufacturing,215149,4017
"Other services, except public administration",147467,3493
"Professional, scientific, and management, and administrative and waste management services",466451,5668
Public administration,138846,3121
Retail trade,313524,4838
"Transportation and warehousing, and utilities",156501,3181
Wholesale trade,65386,2300
