Name,Value,MOE
Total consumer expenditures per household ,116955.52,
Consumer expenditures per household on Alcoholic beverages,792.53,
Consumer expenditures per household on Alcoholic beverages consumed at home,487.01,
Consumer expenditures per household on Apparel & services,2844.77,
Consumer expenditures per household on Men's Apparel,532.52,
Consumer expenditures per household on Women's Apparel,948.09,
Consumer expenditures per household on Children's Apparel,428.73,
Consumer expenditures per household on Boys' Apparel,162.24,
Consumer expenditures per household on Girls' Apparel,153.85,
Consumer expenditures per household on Footware,593,
Consumer expenditures per household on Dining out (Food away from home),4681.71,
Consumer expenditures per household on Education,2179.71,
Consumer expenditures per household on Entertainment / Recreation,4842.21,
Consumer expenditures per household on Club membership fees,372.64,
Consumer expenditures per household on Dating services,1.06,
Consumer expenditures per household on Pet food,415.56,
Consumer expenditures per household on Pet services,129.6,
Consumer expenditures per household on Food consumed at home,8668.7,
Consumer expenditures per household on Bakery products consumed at home,1119.8,
Consumer expenditures per household on Dairy products consumed at home,822.49,
Consumer expenditures per household on Fruits and vegetables consumed at home,1728.69,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1859.53,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,871.73,
Consumer expenditures per household on Snacks and other food products consumed at home,3138.19,
Consumer expenditures per household on Health Care,8978.53,
Consumer expenditures per household on Medical services,1824.47,
Consumer expenditures per household on Nonprescription drugs,205.47,
Consumer expenditures per household on Household Services,3282.76,
Consumer expenditures per household on Care for the elderly and handicapped,45.83,
Consumer expenditures per household on Lawn and garden services,813.02,
Consumer expenditures per household on Housekeeping services,289.91,
Consumer expenditures per household on PC repair,7.13,
Consumer expenditures per household on Housing,38837,
Consumer expenditures per household on Home improvements,6588.03,
"Consumer expenditures per household on Utilities, fuel, and public services",6930.76,
Consumer expenditures per household on Phone services,2246.58,
Consumer expenditures per household on Water,1102.66,
Consumer expenditures per household on Life and other insurance,803.48,
Consumer expenditures per household on Pensions and social security,12683.53,
Consumer expenditures per household on Personal Care Products and Services,1196.53,
Consumer expenditures per household on Hair care products,130.07,
Consumer expenditures per household on Personal care products,532.25,
Consumer expenditures per household on Local Transportation,12840.25,
Consumer expenditures per household on Gasoline,3652.74,
Consumer expenditures per household on Vehicle maintenance and repair,1737.81,
Consumer expenditures per household on Travel,3614.56,
Consumer expenditures per household on Airline fares,764.75,
Consumer expenditures per household on Auto/Truck rental on trips,140.94,
Consumer expenditures per household on Lodging on trips,1169.08,
Consumer expenditures per household on Food and drink on trips,886.38,
Consumer expenditures per household on Entertainment on trips,215.09,
Consumer expenditures per household on Child Care,670.97,
Consumer expenditures per household on Day Care/Nursery & Preschools,478.54,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,192.43,
