Name,Value,MOE
Total population,3598348,
Percent male,49.1,
Percent female,50.9,
Percent under 5 years,5,
Percent under 18 years,20.4,
Percent 18 years and over ,79.6,
Percent 21 years and over,75.6,
Percent working age (25 to 64 years),52.3,
Percent 65 years and over,18.1,
Median age,41.2,0.1
Percent White,67.57,
Percent Black or African American,10.69,
Percent American Indian and Alaska Native,0.27,
Percent Asian,4.75,
Percent Native Hawaiian and Other Pacific Islander,0.05,
Percent some other race,7.14,
Percent two or more races,9.54,
Percent Hispanic (of any race),17.8,
