Name,Value,MOE
Total Civilian employed population 16 years and over,481728,2923
"Agriculture, forestry, fishing and hunting, and mining",4705,622
"Arts, entertainment, and recreation, and accommodation and food services",39947,1815
Construction,34339,1902
"Educational services, and health care and social assistance",119086,2354
"Finance and insurance, and real estate and rental and leasing",45504,2136
Information,5280,537
Manufacturing,35823,1643
"Other services, except public administration",19069,1271
"Professional, scientific, and management, and administrative and waste management services",55642,1865
Public administration,27724,1545
Retail trade,55658,2338
"Transportation and warehousing, and utilities",30615,1735
Wholesale trade,8336,856
