Name,Value,MOE
Total number of housing units,457958,241
Owner-occupied housing units,286340,2400
Renter-occupied housing units,109869,2301
Single-family detached units,269407,2556
Home ownership rate,72.3,0.5
Vacancy rate,13.5,0.4
Percent with a broadband internet subscription,91.4,0.3
Median owner-occupied housing unit value,326800,3051
Average housing value,380258,6483
Median selected monthly owner cost,1344,21
Average monthly owner cost (with a mortgage),1253,22
Median rent (housing),1341,17
Average rent (housing),1189,40
Median year structure built,1986,1
