Name,Value,MOE
Establishments,44553,
Number of establishments change (2023 to 2024),1326,
Number of establishments percent change (2023 to 2024) (%),3.1,
Number of establishments location quotient,1.01,
Employment (1st month of the quarter),411875,
Employment change month 1 (1st month of the quarter in 2023 to 2024),5228,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.3,
Employment location quotient (1st month of the quarter),1,
Employment (2nd month of the quarter),412871,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),5845,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.4,
Employment location quotient (2nd month of the quarter),1,
Employment (3rd month of the quarter),410143,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),4095,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1,
Employment location quotient (3rd month of the quarter),1,
Total wages ($),7693934992,
Total wages change (2023 to 2024) ($),444288335,
Total wages percent change (2023 to 2024) (%),6.1,
Total wages location quotient,0.99,
Average weekly wages ($),1438,
Average weekly wages change (2023 to 2024) ($),66,
Average weekly wages percent change (2023 to 2024) (%),4.8,
Average weekly wages location quotient,0.99,
