Name,Value,MOE
Total number of employer and nonemployer businesses,152229,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,63870,
White-owned non-employer businesses,61780,
Black-owned non-employer businesses,49100,
American Indian- and Alaska Native-owned employer businesses,990,
Asian-owned non-employer businesses,7160,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,170,
Hispanic-owned non-employer businesses,11120,
Female-owned non-employer businesses,58920,
Male-owned non-employer businesses,56720,
Veteran-owned non-employer businesses,3230,
