Name,Value,MOE
Median household income,106287,1803
Average income,157604,2423
Percent high school degree or higher,92.8,0.4
Percent Bachelor's degree or higher,63.6,0.7
Average household size,1.99,
Percent in poverty,14.5,0.7
Percent population 16 years and over in labor force,72,0.5
Percent employed,66.7,0.5
Percent disabled,11,0.4
Percent with health coverage,96.6,0.3
Percent of all workers 16 and over who commute to work,70.6,1.1
Percent who drive alone to work,28.2,0.7
Percent who carpool to work,4.3,0.3
Percent who use public transportation to commute to work,22.3,0.7
Percent who walk to work,10,0.4
Percent who use other means to commute to work,5.8,0.4
Percent who work from home,29.4,0.8
Average travel time to work (mins),30.3,0.7
Percent with no vehicles available,35.9,0.8
Percent with 1 vehicle available,46.3,0.9
Percent with 2 or more vehicles available,17.8,0.6
Percent veterans,3.8,0.2
Percent foreign born,13.3,
Percent speaking Spanish at home,9.2,0.3
Percent speaking other Indo-European languages at home,4.4,0.3
Percent speaking other Asian and Pacific Island languages at home,2.1,0.1
