Name,Value,MOE
Total consumer expenditures per household ,92500.84,
Consumer expenditures per household on Alcoholic beverages,608.61,
Consumer expenditures per household on Alcoholic beverages consumed at home,378.22,
Consumer expenditures per household on Apparel & services,2212.93,
Consumer expenditures per household on Men's Apparel,408.77,
Consumer expenditures per household on Women's Apparel,755.36,
Consumer expenditures per household on Children's Apparel,338.66,
Consumer expenditures per household on Boys' Apparel,125.91,
Consumer expenditures per household on Girls' Apparel,123.37,
Consumer expenditures per household on Footware,467.89,
Consumer expenditures per household on Dining out (Food away from home),3705.5,
Consumer expenditures per household on Education,1524.44,
Consumer expenditures per household on Entertainment / Recreation,3821.46,
Consumer expenditures per household on Club membership fees,272.73,
Consumer expenditures per household on Dating services,0.79,
Consumer expenditures per household on Pet food,350.05,
Consumer expenditures per household on Pet services,101.18,
Consumer expenditures per household on Food consumed at home,6884.82,
Consumer expenditures per household on Bakery products consumed at home,879.94,
Consumer expenditures per household on Dairy products consumed at home,653.24,
Consumer expenditures per household on Fruits and vegetables consumed at home,1353.33,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1491.43,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,700.62,
Consumer expenditures per household on Snacks and other food products consumed at home,2506.88,
Consumer expenditures per household on Health Care,7313.19,
Consumer expenditures per household on Medical services,1453.27,
Consumer expenditures per household on Nonprescription drugs,174.54,
Consumer expenditures per household on Household Services,2591.33,
Consumer expenditures per household on Care for the elderly and handicapped,35.2,
Consumer expenditures per household on Lawn and garden services,655.26,
Consumer expenditures per household on Housekeeping services,231.4,
Consumer expenditures per household on PC repair,5.57,
Consumer expenditures per household on Housing,30598.34,
Consumer expenditures per household on Home improvements,5268.84,
"Consumer expenditures per household on Utilities, fuel, and public services",5636.09,
Consumer expenditures per household on Phone services,1829.45,
Consumer expenditures per household on Water,922.24,
Consumer expenditures per household on Life and other insurance,626.5,
Consumer expenditures per household on Pensions and social security,9630.36,
Consumer expenditures per household on Personal Care Products and Services,945.81,
Consumer expenditures per household on Hair care products,100.18,
Consumer expenditures per household on Personal care products,416.9,
Consumer expenditures per household on Local Transportation,10473.21,
Consumer expenditures per household on Gasoline,3047.29,
Consumer expenditures per household on Vehicle maintenance and repair,1411.15,
Consumer expenditures per household on Travel,2809.49,
Consumer expenditures per household on Airline fares,588.09,
Consumer expenditures per household on Auto/Truck rental on trips,106.94,
Consumer expenditures per household on Lodging on trips,905.55,
Consumer expenditures per household on Food and drink on trips,690.52,
Consumer expenditures per household on Entertainment on trips,163.77,
Consumer expenditures per household on Child Care,487.58,
Consumer expenditures per household on Day Care/Nursery & Preschools,348.09,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,139.48,
