Name,Value,MOE
All Employer establishments (Total),633353,
Average employment per employer,15,
Establishments with less than 5 employees,403100,
Establishments with 5 to 9 employees,93459,
Average payroll per employee,57788,
Establishments with 10 to 19 employees,64374,
Establishments with 20 to 49 employees,45649,
Establishments with 50 to 99 employees,14633,
Population per employer,34,
Establishments with 100 to 249 employees,8654,
Establishments with 250 to 499 employees,2107,
Establishments with 500 to 999 employees,788,
"Establishments with 1,000 employees or more",589,
Total employment of employers,9628867,
"Total annual payroll of employers ($1,000)",556430324,
Number of farm operations (Ag only),16684,
Total contract and hired labor expense (Ag only),421013000,
Total operating expense (Ag only),4671003000,
Establishment Entrants,75778,
Establishment Exits,61635,
All Employer firms (Total),445422,
Firms Age 0 (startups),51393,
Firms Age 1-5 Years,136117,
Firms Age 6-10 Year,78688,
Firms Age 11+ Years,166489,
Firms born before 1977,12735,
Firms with 1 to 19 employees,411569,
Firms with 20 to 499 employees,38129,
Firms with 500 or more employees,732,
