Name,Value,MOE
Total Civilian employed population 16 years and over,10209399,18982
"Agriculture, forestry, fishing and hunting, and mining",80736,3001
"Arts, entertainment, and recreation, and accommodation and food services",1132531,12128
Construction,835732,10293
"Educational services, and health care and social assistance",2143708,14082
"Finance and insurance, and real estate and rental and leasing",821315,8370
Information,162445,3653
Manufacturing,533477,8236
"Other services, except public administration",519739,7483
"Professional, scientific, and management, and administrative and waste management services",1425662,10519
Public administration,434664,7338
Retail trade,1234558,11162
"Transportation and warehousing, and utilities",638909,7099
Wholesale trade,245923,4587
